Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,House price index Detached houses,House price index Semi-detached houses,House price index Terraced houses,House price index Flats and maisonettes,Pivotable date
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-01,34383,monthly,57.6,58,56.8,57,60.1,01/01/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-02,40718,monthly,57.9,57.9,57.3,57.4,60.3,01/02/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-03,49166,monthly,57.7,57.7,56.8,57,61,01/03/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-04,49802,monthly,58.4,58.2,57.7,57.9,61.2,01/04/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-05,49793,monthly,58.7,58.7,57.8,58.2,61.5,01/05/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-06,59887,monthly,59,58.7,58.2,58.8,61.8,01/06/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-07,64635,monthly,59.6,60,58.7,59.1,62,01/07/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-08,58984,monthly,59.7,60.1,59.2,58.9,61.9,01/08/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-09,55114,monthly,59.5,60.1,58.5,58.9,62,01/09/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-10,55948,monthly,58.8,59.4,58,58.1,61.3,01/10/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-11,53689,monthly,58.2,59,57.5,57.2,60.7,01/11/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2010-12,54383,monthly,58.1,58.4,57.4,57.4,60.9,01/12/2010
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-01,36005,monthly,57.6,58.5,56.5,56.6,60.4,01/01/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-02,37892,monthly,57.4,58.2,56.3,56.4,60.5,01/02/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-03,44568,monthly,57.2,58.1,55.8,56.1,60.4,01/03/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-04,48605,monthly,58,58.3,56.7,57.1,61.5,01/04/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-05,46851,monthly,57.7,57.9,56.7,56.7,61.1,01/05/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-06,55226,monthly,57.8,57.7,56.9,57,61.1,01/06/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-07,59692,monthly,58.5,58.6,57.3,57.7,62.3,01/07/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-08,61631,monthly,58.6,59.1,57.7,57.7,61.2,01/08/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-09,60860,monthly,58.4,59,57.3,57.6,61.2,01/09/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-10,55412,monthly,57.9,58.7,57,56.7,60.5,01/10/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-11,57594,monthly,57.9,58.4,56.9,56.6,61.3,01/11/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2011-12,60991,monthly,57.7,57.9,56.9,56.8,61.1,01/12/2011
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-01,42125,monthly,57.5,57.9,56.7,56.6,60.5,01/01/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-02,43023,monthly,57.5,57.9,56.6,56.8,60.3,01/02/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-03,58990,monthly,57.6,57.1,56.7,57.2,60.9,01/03/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-04,41395,monthly,58.3,58.5,57.2,57.3,62.1,01/04/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-05,50413,monthly,58.5,58.4,57.4,57.6,62.3,01/05/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-06,57212,monthly,59,58.5,57.8,58.8,62.7,01/06/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-07,56838,monthly,59.4,59.4,58.1,58.7,63,01/07/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-08,62396,monthly,59.5,59.4,58.4,59.1,62.8,01/08/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-09,50670,monthly,59.3,59.2,58,58.8,62.9,01/09/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-10,56410,monthly,58.9,58.8,57.7,58.2,62.8,01/10/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-11,61010,monthly,59,58.9,57.9,58.5,62.5,01/11/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2012-12,54054,monthly,58.9,58.7,57.6,58.4,62.8,01/12/2012
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2013-01,41530,monthly,58.4,58.3,57.4,57.5,62.1,01/01/2013
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2013-02,43191,monthly,58.5,58.3,57.3,57.9,62.5,01/02/2013
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2013-03,52099,monthly,58.9,58.9,57.5,58.1,62.8,01/03/2013
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2013-04,48744,monthly,59.4,59.2,58,58.7,63.8,01/04/2013
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2013-05,63360,monthly,59.7,59.1,58.3,59,64.1,01/05/2013
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2013-06,63222,monthly,60.1,59.5,58.8,59.8,64.4,01/06/2013
